Ref,Val,Package,PosX,PosY,Rot,Side
"G***","LOGO","pcb way logo",5.000000,46.500000,-90.000000,bottom
"C1","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",21.024999,44.500000,180.000000,top
"C2","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",8.600000,35.800000,0.000000,top
"C3","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",114.275000,51.950000,0.000000,top
"C4","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",77.250000,41.375000,90.000000,top
"C5","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",98.724999,30.750000,180.000000,top
"C6","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",71.925001,31.600000,180.000000,top
"C7","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",64.975000,35.250000,180.000000,top
"C8","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",61.125001,35.250000,180.000000,top
"C9","10uF","CP_Elec_4x4.5",22.000000,65.500000,0.000000,top
"C10","10uF","CP_Elec_4x4.5",57.100000,78.350000,0.000000,top
"C11","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",51.300000,79.100000,-90.000000,top
"C12","10uF","CP_Elec_4x4.5",57.350000,72.350000,180.000000,top
"C13","10uF","CP_Elec_4x4.5",41.800000,73.650000,-90.000000,top
"C14","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",3.500000,24.524999,-90.000000,top
"C15","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",20.000000,24.525000,-90.000000,top
"C16","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",36.500000,24.524999,-90.000000,top
"C17","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",53.000000,24.524999,-90.000000,top
"C18","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",69.500000,24.524999,-90.000000,top
"C19","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",86.000000,24.525000,-90.000000,top
"C20","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",102.500000,24.475000,-90.000000,top
"C21","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",119.000000,24.500000,-90.000000,top
"C22","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",78.900000,59.875000,90.000000,top
"C23","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",95.400000,59.850000,90.000000,top
"C24","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",111.900000,59.850000,90.000000,top
"D1","1N5819","SOD-123",17.000000,67.000000,90.000000,top
"D2","SK6812MINI","LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm",8.000000,24.500000,180.000000,top
"D3","SK6812MINI","LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm",24.500000,24.500000,180.000000,top
"D4","SK6812MINI","LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm",41.000000,24.500000,180.000000,top
"D5","SK6812MINI","LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm",57.500000,24.500000,180.000000,top
"D6","SK6812MINI","LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm",74.000000,24.625000,180.000000,top
"D7","SK6812MINI","LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm",90.500000,24.500000,180.000000,top
"D8","SK6812MINI","LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm",107.000000,24.500000,180.000000,top
"D9","SK6812MINI","LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm",123.500000,24.500000,180.000000,top
"D10","SK6812MINI","LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm",74.400000,59.850000,0.000000,top
"D11","SK6812MINI","LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm",90.900000,59.850000,0.000000,top
"D12","SK6812MINI","LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm",107.400000,59.850000,0.000000,top
"J1","Conn_01x04","PinHeader_1x04_P2.54mm_Vertical",117.900000,53.150000,90.000000,top
"J2","PJ-202A","Barrel_Jack_5.5mmODx2.1mmID_PJ-202A",11.000000,68.000000,90.000000,top
"J3","RJ12","RJ_6p6c",5.014000,16.500000,0.000000,top
"J4","RJ12","RJ_6p6c",21.514000,16.500000,0.000000,top
"J5","RJ12","RJ_6p6c",38.014000,16.500000,0.000000,top
"J6","RJ12","RJ_6p6c",54.514000,16.500000,0.000000,top
"J7","RJ12","RJ_6p6c",71.014000,16.500000,0.000000,top
"J8","RJ12","RJ_6p6c",87.514000,16.500000,0.000000,top
"J9","RJ12","RJ_6p6c",104.014000,16.500000,0.000000,top
"J10","RJ12","RJ_6p6c",120.514000,16.500000,0.000000,top
"J11","RJ12","RJ_6p6c",77.400001,67.850000,180.000000,top
"J12","RJ12","RJ_6p6c",93.900000,67.850000,180.000000,top
"J13","RJ12","RJ_6p6c",110.400000,67.850000,180.000000,top
"Q1","BSS138","SOT-23",14.600000,39.050000,90.000000,top
"Q2","BSS138","SOT-23",22.200000,39.050000,90.000000,top
"Q3","BSS138","SOT-23",41.000000,43.150000,90.000000,top
"Q4","BSS138","SOT-23",34.000000,43.150000,90.000000,top
"R1","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",11.700000,39.500000,-90.000000,top
"R2","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",14.525000,36.150000,0.000000,top
"R3","300r","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",9.650000,39.525000,90.000000,top
"R4","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",19.500000,39.500000,-90.000000,top
"R5","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",22.225000,36.150000,0.000000,top
"R6","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",38.250000,43.450000,-90.000000,top
"R7","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",41.000000,40.350000,0.000000,top
"R8","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",31.200000,43.450000,-90.000000,top
"R9","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",34.000000,40.300000,0.000000,top
"R10","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",69.225001,29.650000,180.000000,top
"R11","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",75.750000,36.275000,90.000000,top
"R12","100K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",68.200000,32.750000,-90.000000,top
"R13","300K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",60.125000,38.700000,90.000000,top
"R14","100K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",71.900000,33.575000,180.000000,top
"R15","300r","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",129.400000,24.750000,90.000000,top
"SW1","SW_Push","SW_SPST_60x35",43.000000,64.500000,0.000000,top
"TP1","TestPoint","TestPoint_Loop_D3.50mm_Drill0.9mm_Beaded",125.600000,59.850000,0.000000,top
"TP2","TestPoint","TestPoint_Loop_D3.50mm_Drill0.9mm_Beaded",27.350000,72.100000,0.000000,top
"TP3","TestPoint","TestPoint_Loop_D3.50mm_Drill0.9mm_Beaded",56.350000,35.200000,0.000000,top
"TP4","TestPoint","TestPoint_Loop_D3.50mm_Drill0.9mm_Beaded",32.750000,72.100000,0.000000,top
"TP5","TestPoint","TestPoint_Loop_D3.50mm_Drill0.9mm_Beaded",61.500000,63.750000,0.000000,top
"U1","ESP32_DevKit_V1_DOIT","esp32_devkit_v1_doit",47.500000,46.500000,-90.000000,top
"U2","PCF8574","SOIC-16W_7.5x10.3mm_P1.27mm",84.150000,37.900000,90.000000,top
"U3","MT8808","DIP-28_W15.24mm_Socket_LongPads",92.550000,33.600000,90.000000,top
"U4","MT88L70AS1","SOIC-18W_7.5x11.6mm_P1.27mm",68.675000,42.550000,180.000000,top
"U5","ICL7660","SOIC-8_3.9x4.9mm_P1.27mm",48.650000,74.150000,0.000000,top
"Y1","3.579545 MHz","Crystal_SMD_HC49-SD_HandSoldering",68.500000,51.600000,180.000000,top
"Z1","2V4","SOD-123",4.850000,17.000000,0.000000,top
"Z2","2V4","SOD-123",21.350000,17.000000,0.000000,top
"Z3","2V4","SOD-123",37.500000,17.000000,0.000000,top
"Z4","2V4","SOD-123",54.350000,17.000000,0.000000,top
"Z5","2V4","SOD-123",70.850000,17.000000,0.000000,top
"Z6","2V4","SOD-123",87.350000,17.000000,0.000000,top
"Z7","2V4","SOD-123",103.850000,17.000000,0.000000,top
"Z8","2V4","SOD-123",120.350000,17.000000,0.000000,top
"Z9","2V4","SOD-123",77.550000,67.350000,180.000000,top
"Z10","2V4","SOD-123",94.050000,67.350000,180.000000,top
"Z11","2V4","SOD-123",110.550000,67.350000,180.000000,top
"Z12","2V4","SOD-123",11.500000,17.000000,180.000000,top
"Z13","2V4","SOD-123",28.000000,17.000000,180.000000,top
"Z14","2V4","SOD-123",44.500000,17.000000,180.000000,top
"Z15","2V4","SOD-123",61.350000,17.000000,180.000000,top
"Z16","2V4","SOD-123",77.350000,17.000000,180.000000,top
"Z17","2V4","SOD-123",94.350000,17.000000,180.000000,top
"Z18","2V4","SOD-123",110.500000,17.000000,180.000000,top
"Z19","2V4","SOD-123",126.850000,17.000000,180.000000,top
"Z20","2V4","SOD-123",70.900000,67.350000,0.000000,top
"Z21","2V4","SOD-123",87.550000,67.350000,0.000000,top
"Z22","2V4","SOD-123",103.900000,67.350000,0.000000,top
